truck_id,route_id,departure_date,estimated_arrival,delay,route_avg_temp,route_avg_wind_speed,route_avg_precip,route_avg_humidity,route_avg_visibility,route_avg_pressure,route_description,estimated_arrival_nearest_hour,departure_date_nearest_hour,origin_id,destination_id,distance,average_hours,temp_origin,wind_speed_origin,description_origin,precip_origin,humidity_origin,visibility_origin,pressure_origin,temp_destination,wind_speed_destination,description_destination,precip_destination,humidity_destination,visibility_destination,pressure_destination,avg_no_of_vehicles,accident,truck_age,load_capacity_pounds,mileage_mpg,fuel_type,driver_id,name,gender,age,experience,driving_style,ratings,vehicle_no,average_speed_mph,is_midnight,id
14223048,R-4f2e8b29,2019-02-03 07:00:00,2019-02-03 12:45:00,0,71.0,9.333333333333334,0.0,65.0,6.0,1017.3333333333334,Clear,2019-02-03 13:00:00,2019-02-03 07:00:00,C-2aaf0e1a,C-d9e9d934,287.49,5.75,28.0,2.0,Mist,0.0,94.0,3.0,1021.0,48.0,4.0,Partly cloudy,0.0,71.0,6.0,1021.0,2071.4,0.0,12.0,3000.0,23.0,diesel,3bbf043d-e,Joshua Reed,male,36.0,4.0,proactive,8.0,14223048.0,59.21,0,1
22748353,R-73f77646,2019-01-25 07:00:00,2019-01-25 23:32:24,0,40.5,9.5,0.0,52.0,6.0,1016.0,Light snow,2019-01-26 00:00:00,2019-01-25 07:00:00,C-ef47bdcd,C-419cd14c,827.24,16.54,16.0,9.0,Sunny,0.0,67.0,6.0,1029.0,50.0,1.0,Clear,0.0,73.0,6.0,1025.0,2201.3125,0.0,8.0,4000.0,25.0,diesel,174eb703-c,Manuel Jimenez,male,42.0,8.0,conservative,3.0,22748353.0,29.32,0,2
27677000,R-7430e046,2019-01-31 07:00:00,2019-02-01 01:41:24,1,37.5,19.5,0.0,71.5,6.0,1014.5,Overcast,2019-02-01 02:00:00,2019-01-31 07:00:00,C-6ea51d66,C-927ceb5e,934.7,18.69,5.0,12.0,Partly cloudy,0.0,50.0,6.0,1025.0,0.0,6.0,Heavy snow,0.0,81.0,4.0,1024.0,2110.5,0.0,7.0,15000.0,19.0,diesel,4443488d-8,Gregory Rios,male,49.0,3.0,conservative,8.0,27677000.0,48.22,1,3
33250272,R-d9f80fa7,2019-01-31 07:00:00,2019-01-31 11:48:36,0,26.5,7.0,0.0,80.5,5.5,1016.0,Clear,2019-01-31 12:00:00,2019-01-31 07:00:00,C-d80a1e7d,C-b6e04c88,240.42,4.81,-6.0,7.0,Partly cloudy,0.0,52.0,6.0,1033.0,16.0,9.0,Overcast,0.0,46.0,6.0,1030.0,2200.2,0.0,9.0,15000.0,24.0,gas,ccabea2a-2,Alexander Fischer,male,46.0,5.0,conservative,2.0,33250272.0,42.96,0,4
22695998,R-41fb82a2,2019-02-06 07:00:00,2019-02-06 13:59:24,0,52.666666666666664,11.333333333333334,0.0,72.0,6.0,1018.0,Clear,2019-02-06 14:00:00,2019-02-06 07:00:00,C-c4565ee8,C-9bbf5d8a,349.44,6.99,50.0,8.0,Moderate rain,0.0,98.0,4.0,1013.0,70.0,9.0,Overcast,0.0,70.0,6.0,1017.0,2004.0,0.0,9.0,20000.0,16.0,gas,08e0c7de-9,Donald Brooks,male,46.0,11.0,proactive,6.0,22695998.0,57.41,0,5
10455714,R-193595bb,2019-01-16 07:00:00,2019-01-16 21:55:48,1,58.5,8.25,0.0,90.0,6.0,1005.5,Clear,2019-01-16 22:00:00,2019-01-16 07:00:00,C-b5282c3b,C-40a81eb1,746.53,14.93,30.0,9.0,Patchy moderate snow,0.0,64.0,4.0,1022.0,32.0,9.0,Clear,0.0,59.0,6.0,1021.0,2186.8,0.0,9.0,15000.0,25.0,diesel,fc9abece-7,Michael Mitchell Jr.,male,52.0,20.0,conservative,7.0,10455714.0,50.59,0,6
15081964,R-6ca8dfef,2019-01-13 07:00:00,2019-01-13 11:24:36,0,45.0,17.0,0.0,95.0,6.0,1005.0,Light rain,2019-01-13 11:00:00,2019-01-13 07:00:00,C-c4565ee8,C-b25a09de,220.48,4.41,28.0,4.0,Moderate snow,0.0,93.0,2.0,1025.0,27.0,5.0,Heavy snow,0.0,91.0,1.0,1025.0,389.25,0.0,9.0,3000.0,16.0,gas,bc84221f-c,Deanna Ho,male,49.0,8.0,proactive,7.0,15081964.0,62.45,0,7
30630049,R-91da63c5,2019-01-01 07:00:00,2019-01-02 03:00:36,0,22.2,4.2,0.0,84.6,4.8,1018.8,Clear,2019-01-02 03:00:00,2019-01-01 07:00:00,C-ef47bdcd,C-d80a1e7d,1000.56,20.01,0.0,3.0,Heavy snow,0.0,89.0,3.0,1034.0,19.0,9.0,Partly cloudy,0.0,60.0,6.0,1025.0,1869.952380952381,0.0,10.0,8608.555286521389,21.0,diesel,fdff90f9-3,Kyle Whitney,male,55.0,13.0,conservative,6.0,30630049.0,43.37,1,8
11911595,R-7e44a2ef,2019-01-04 07:00:00,2019-01-04 15:35:24,0,71.0,6.666666666666667,0.0,77.33333333333333,6.0,1018.6666666666666,Sunny,2019-01-04 16:00:00,2019-01-04 07:00:00,C-19236709,C-280b55fb,429.54,8.59,36.0,3.0,Partly cloudy,0.0,67.0,6.0,1012.0,41.0,9.0,Sunny,0.0,75.0,6.0,1009.0,2370.5555555555557,0.0,11.0,4000.0,20.0,diesel,84a497b6-6,Jim Reed,male,52.0,25.0,conservative,9.0,11911595.0,49.45,0,9
27935116,R-d06f28b9,2019-01-28 07:00:00,2019-01-28 17:01:12,0,67.33333333333333,8.0,0.0,80.0,4.333333333333333,1017.3333333333334,Patchy light drizzle,2019-01-28 17:00:00,2019-01-28 07:00:00,C-328bd8d3,C-d9e9d934,500.85,10.02,19.0,12.0,Cloudy,0.0,84.0,4.0,1013.0,36.0,7.0,Sunny,0.0,51.0,6.0,1017.0,1744.8181818181818,0.0,8.0,15000.0,21.0,gas,aa47d9c5-c,Mr. Douglas Koch Jr.,male,39.0,4.0,conservative,2.0,27935116.0,47.15,0,10
